ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Chủ đề
Q001,Đại hội đại biểu toàn quốc lần thứ XIV của Đảng Cộng sản Việt Nam dự kiến tổ chức vào năm nào?,2024,2025,2026,2027,C,Đại hội XIV dự kiến tổ chức đầu năm 2026,Chính trị
Q002,Văn kiện nào quan trọng nhất trong việc bảo vệ nền tảng tư tưởng của Đảng?,Nghị quyết 35-NQ/TW,Nghị quyết 04-NQ/TW,Nghị quyết 26-NQ/TW,Nghị quyết 06-NQ/TW,A,Nghị quyết 35-NQ/TW ngày 22/10/2018 của Bộ Chính trị về tăng cường bảo vệ nền tảng tư tưởng của Đảng,Tư tưởng
Q003,Ai là Tổng Bí thư đầu tiên của Đảng Cộng sản Việt Nam?,Trần Phú,Hồ Chí Minh,Lê Hồng Phong,Trường Chinh,A,Đồng chí Trần Phú là Tổng Bí thư đầu tiên (1930-1931),Lịch sử Đảng
Q004,Đảng Cộng sản Việt Nam được thành lập vào ngày tháng năm nào?,03/02/1930,02/09/1945,19/05/1890,30/04/1975,A,Đảng Cộng sản Việt Nam thành lập ngày 03/02/1930,Lịch sử Đảng
Q005,Lực lượng Công an nhân dân Việt Nam được thành lập vào ngày tháng năm nào?,19/08/1945,02/09/1945,07/05/1954,03/02/1930,A,Ngày 19/8/1945 - Ngày truyền thống lực lượng Công an nhân dân Việt Nam,Lịch sử
Q006,"""Sáu điều Bác Hồ dạy"" Công an nhân dân được Bác viết vào năm nào?",1945,1948,1954,1969,B,Tháng 3/1948 Bác Hồ gửi thư cho đồng chí Hoàng Mai - Giám đốc Công an Khu XII,Tư tưởng
Q007,Hiến pháp hiện hành của nước CHXHCN Việt Nam được Quốc hội thông qua năm nào?,1992,2001,2013,2018,C,Hiến pháp 2013 được Quốc hội khóa XIII thông qua ngày 28/11/2013,Pháp luật
Q008,"Theo Điều 4 Hiến pháp 2013, ai là lực lượng lãnh đạo Nhà nước và xã hội?",Quốc hội,Đảng Cộng sản Việt Nam,Chủ tịch nước,Mặt trận Tổ quốc,B,"""Đảng Cộng sản Việt Nam... là lực lượng lãnh đạo Nhà nước và xã hội""",Pháp luật
Q009,Nghị quyết 35-NQ/TW của Bộ Chính trị ban hành năm nào?,2016,2018,2020,2022,B,Nghị quyết 35-NQ/TW ban hành ngày 22/10/2018,Tư tưởng
Q010,Phong trào nào của Đoàn TNCS Hồ Chí Minh hiện được triển khai mạnh nhất?,Thanh niên tình nguyện,3 nhất,Tuổi trẻ sáng tạo,Tất cả các phương án trên,D,Đoàn TN triển khai đồng thời nhiều phong trào,Đoàn thanh niên
Q011,Tỉnh Phú Thọ có biệt danh là gì?,Đất Tổ,Cố đô,Thủ đô gió ngàn,Đất Vua,A,Phú Thọ là Đất Tổ - quê hương các Vua Hùng,Địa phương
Q012,Bộ Công an Việt Nam hiện do ai làm Bộ trưởng?,Đại tướng Tô Lâm,Thượng tướng Lương Tam Quang,Đại tướng Trần Đại Quang,Thượng tướng Trần Quốc Tỏ,B,"Từ năm 2024, Thượng tướng Lương Tam Quang giữ chức Bộ trưởng Bộ Công an",Chính trị
Q013,Khẩu hiệu của lực lượng CAND Việt Nam là gì?,Vì nước quên thân vì dân phục vụ,Còn Đảng còn mình,"Bảo vệ Đảng, bảo vệ chế độ, bảo vệ Nhân dân",Tất cả phương án trên,D,Đây đều là khẩu hiệu của CAND Việt Nam,Tư tưởng
Q014,Mặt trận Tổ quốc Việt Nam là tổ chức như thế nào?,Tổ chức chính trị,Tổ chức xã hội,Liên minh chính trị - tổ chức liên hiệp tự nguyện,Tổ chức quần chúng,C,Theo Điều 9 Hiến pháp 2013,Pháp luật
Q015,"""Diễn biến hòa bình"" là gì?",Chiến lược quân sự,Chiến lược chống phá cách mạng của các thế lực thù địch,Chính sách đối ngoại hòa bình,Phương pháp đấu tranh chính trị,B,Là chiến lược phi quân sự của các thế lực thù địch chống phá CNXH,Tư tưởng
